Date	Result	WhiteElo	BlackElo	Opening	Moves
2016.07.31	1-0	1500	1476	King's Pawn	1. e4
2016.07.31	0-1	1261	1345	St. George Defense: New St. George, Three Pawn Attack	1. d4 e6 2. c4 a6 3. e4 c5 4. Bd3 cxd4
2016.07.31	0-1	1744	1848	Italian Game: Classical Variation, Albin Gambit	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Nf6
2016.07.31	1-0	1485	1471	King's Indian Defense: Larsen Variation	1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. Nf3 d6
2016.07.31	0-1	2107	2132	Torre Attack #2	1. d4 Nf6 2. Nf3 e6 3. g3 b6 4. Bg2 Bb7
2016.07.31	1-0	1598	1525	Slav Defense: Three Knights Variation	1. d4 d5 2. c4 c6 3. Nc3 Nf6 4. Nf3 Bf5
2016.07.31	0-1	1869	1903	Modern Defense: Two Knights Variation	1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Nf3 Nd7
2016.07.31	0-1	1500	1506	Sicilian Defense: Old Sicilian	1. e4 c5 2. Nf3 Nc6 3. Bd3 Nf6 4. Nc3 d6
2016.07.31	0-1	2171	2254	Englund Gambit Complex: Hartlaub-Charlick Gambit	1. d4 e5 2. dxe5 d6 3. Nf3 Nc6 4. exd6 Bxd6
2016.07.31	0-1	1419	1385	Queen's Pawn Game #2	1. d4 d5 2. e3 Bf5 3. Nf3 Bg4 4. Be2 e6
2016.07.31	1-0	1986	1971	English Opening: Anglo-Indian Defense	1. c4 Nf6 2. g3 e5 3. Bg2 c6 4. Nc3 Bb4
2016.07.31	0-1	1947	2163	Pirc Defense: Austrian Attack #2	1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7
2016.07.31	0-1	1821	1834	English Opening: Anglo-Indian Defense, Old Indian Formation	1. Nf3 Nf6 2. c4 d6 3. d4 g6 4. g3 Bg7
2016.07.31	1/2-1/2	1176	1242	Three Knights Opening #2	1. e4 e5 2. Nf3 Nc6 3. Nc3 Bb4 4. a3 Bxc3
2016.07.31	1-0	1639	1637	Giuoco Piano	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. O-O d6
2016.07.31	1-0	1634	1476	Horwitz Defense	1. d4 e6 2. d5 exd5 3. Qxd5 Nf6 4. Qe5+ Be7
2016.07.31	1-0	1801	1748	Owen Defense	1. e4 b6 2. Nf3 Bb7 3. d3 d6 4. Be3 Nd7
2016.07.31	1-0	2066	1995	Queen's Pawn	1. d4
2016.07.31	1/2-1/2	2219	2191	Englund Gambit Declined, Reversed Alekhine	1. d4 e5 2. Nf3 exd4 3. Nxd4 Nf6 4. Nc3 d5
2016.07.31	1-0	1727	1706	Van't Kruijs Opening	1. e3 e5 2. d3 d5 3. Be2 Nf6 4. Bd2 Be7
2016.07.31	0-1	1840	1835	Queen's Pawn	1. d4 d6 2. Nf3 f5 3. e4 Nf6 4. exf5 Bxf5
2016.07.31	1-0	1817	1863	Mikenas Defense	1. d4 Nc6 2. d5 d6 3. c4 Ne5 4. Nc3 Ng6
2016.07.31	0-1	1675	1690	Caro-Kann Defense: Panov Attack	1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6
2016.07.31	1-0	1817	1749	Indian Game: Tartakower Attack	1. d4 Nf6 2. g3 g6 3. Bg2 Bg7 4. Nf3 d6
2016.07.31	1/2-1/2	2164	2163	French Defense: Rubinstein Variation, Blackburne Defense	1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nd7
2016.07.31	1/2-1/2	1733	1737	King's Gambit Declined, Classical Variation #2	1. e4 e5 2. f4 Bc5 3. Nf3 d6 4. c3 Nf6
2016.07.31	0-1	1780	1736	Van't Kruijs Opening	1. e3 c5 2. c4 e6 3. d4 cxd4 4. exd4 d5
2016.07.31	0-1	1894	1922	Caro-Kann Defense: Classical Variation, Main Line	1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bf5
2016.07.31	0-1	1790	1887	Queen's Pawn Game: Chigorin Variation	1. Nc3 d5 2. d4 e6 3. Nf3 f5 4. e3 Nf6
2016.07.31	1-0	2157	2098	Slav Defense: Winawer Countergambit	1. d4 c6 2. c4 d5 3. Nc3 e5 4. e3 exd4
2016.07.31	1-0	1633	1554	Zukertort Opening: Sicilian Invitation	1. Nf3 c5 2. d4 cxd4 3. Nxd4 e5 4. Nf3 Nc6
2016.07.31	0-1	1695	1700	Queen's Pawn Game: Mason Attack	1. d4 d5 2. Bf4 Nf6 3. e3 Nc6 4. Nf3 Bg4
2016.07.31	0-1	1329	1775	Pirc Defense #4	1. e4 d6 2. b4 Nf6 3. c3 Nxe4 4. Qe2 Nf6
2016.07.31	0-1	2169	2249	English Opening: Adorjan Defense	1. e4 e5 2. c4 g6 3. Nc3 Bg7 4. d3 Nc6
2016.07.31	0-1	1587	1851	Sicilian Defense	1. e4 c5 2. Bb5 e6 3. e5 Ne7 4. d4 a6
2016.07.31	1-0	1662	1618	Modern Defense	1. e4 g6 2. d4 e6 3. Nf3 c6 4. Nc3 Bg7
2016.07.31	0-1	1392	1443	Sicilian Defense	1. e4 c5 2. e5 Nc6 3. Nf3 d6 4. d4 dxe5
2016.07.31	1-0	1680	1665	Caro-Kann Defense: Advance Variation, Short Variation	1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6
2016.07.31	0-1	1848	1814	Pirc Defense	1. e4 d6 2. d4 Nf6 3. e5 dxe5 4. dxe5 Qxd1+
2016.07.31	1-0	1637	1448	Polish Opening	1. b4 e5 2. b5 b6 3. e3 a6 4. a4 axb5
2016.07.31	1-0	1364	1590	Indian Game: Tartakower Attack	1. d4 Nf6 2. g3 e6 3. Bg2 c5 4. c3 cxd4
2016.07.31	1-0	1500	1595	Sicilian Defense: Smith-Morra Gambit #2	1. e4 c5 2. d4 cxd4 3. Qxd4 Nc6 4. Qd3 g6
2016.07.31	0-1	1903	1863	Sicilian Defense: Marshall Counterattack	1. e4 e6 2. d4 c5 3. Nf3 d5 4. exd5 exd5
2016.07.31	0-1	2070	2038	King's Indian Defense: Normal Variation, Rare Defenses	1. d4 Nf6 2. Nf3 d6 3. c4 g6 4. Nc3 Bg7
2016.07.31	0-1	1948	1997	French Defense: King's Indian Attack	1. e4 e6 2. d3 d5 3. Nd2 dxe4 4. Nxe4 Nf6
2016.07.31	1-0	1792	1808	Ruy Lopez: Steinitz Defense	1. e4 e5 2. Nf3 Nc6 3. Bb5 d6 4. Bxc6+ bxc6
2016.07.31	0-1	1634	1674	Semi-Slav Defense	1. d4 e6 2. c4 d5 3. Nc3 c6 4. Nf3 Nf6
2016.07.31	0-1	1366	1853	Sicilian Defense: Closed Variation	1. e4 c5 2. Nc3 d6 3. Nf3 Nf6 4. Bc4 a6
2016.07.31	1-0	2080	1958	Semi-Slav Defense	1. d4 d5 2. c4 c6 3. Nc3 Nf6 4. Nf3 e6
2016.07.31	1-0	1919	1878	Indian Game	1. d4 Nf6 2. e3 e6 3. Bd3 d5 4. Nd2 c5
2016.07.31	1-0	1693	1680	Sicilian Defense	1. e4 c5 2. Nf3 d6 3. Bc4 Bd7 4. Ng5 e6
2016.07.31	0-1	1698	1722	Zukertort Opening: Black Mustang Defense	1. Nf3 Nc6 2. g3 d5 3. Bg2 e5 4. O-O Nf6
2016.07.31	1-0	1707	1743	King's Pawn Game: Leonardis Variation	1. e4 e5 2. d3 Nc6 3. Nd2 d5 4. Ngf3 dxe4
2016.07.31	0-1	2097	2033	Queen's Gambit Declined: Modern, Knight Defense #3	1. d4 Nf6 2. c4 e6 3. Nc3 d5 4. Bg5 Nbd7
2016.07.31	1-0	1726	1664	Pirc Defense #5	1. e4 d6 2. d4 Bg4 3. Qxg4 Nf6 4. Qe2 Nbd7
2016.07.31	1/2-1/2	2365	1790	Owen Defense	1. e4 b6 2. Nf3 Ba6 3. d3 Bb5 4. a4 Ba6
2016.07.31	1-0	1563	1653	Scandinavian Defense: Mieses-Kotroc Variation	1. e4 d5 2. exd5 Qxd5 3. c4 Qd8 4. d4 Bf5
2016.07.31	1-0	1684	1927	French Defense: King's Indian Attack	1. e4 e6 2. d3 d5 3. Nd2 Nf6 4. Ngf3 c5
2016.07.31	0-1	1511	1874	Caro-Kann Defense	1. e4 c6 2. Nf3 d5 3. exd5 cxd5 4. c4 Nf6
2016.07.31	0-1	1767	1940	Scandinavian Defense: Blackburne-Kloosterboer Gambit	1. e4 d5 2. exd5 c6 3. Nc3 cxd5 4. d4 Nc6
2016.07.31	1-0	1639	1439	Modern Defense: Averbakh Variation	1. d4 d6 2. c4 g6 3. Nc3 Bg7 4. e4 c5
2016.07.31	1-0	1570	1651	King's Knight Opening: Normal Variation	1. e4 e5 2. Nf3 Nc6 3. d3 Nf6 4. Be2 Bb4+
2016.07.31	1-0	1653	1625	Italian Game: Two Knights Defense, Polerio Defense, Bogoljubov Variation	1. e4 e5 2. Bc4 Nc6 3. Nf3 Nf6 4. Ng5 d5
2016.07.31	1-0	1840	1921	Modern Defense	1. d4 g6 2. c4 Bg7 3. Nc3 Nc6 4. Nf3 d6
2016.07.31	0-1	2391	2180	Sicilian Defense: Smith-Morra Gambit	1. e4 c5 2. d4 cxd4 3. c3 dxc3 4. Nxc3 Nc6
2016.07.31	0-1	1784	1469	Queen's Pawn Game: Mason Attack	1. d4 d5 2. Bf4 e6 3. Nf3 Nf6 4. e3 Bd7
2016.07.31	1/2-1/2	1655	1794	Modern Defense	1. e4 g6 2. Bc4 Bg7 3. d3 d6 4. h3 a6
2016.07.31	1-0	1772	1504	King's Gambit Accepted, Fischer Defense	1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6
2016.07.31	1-0	1889	1416	Dutch Defense	1. d4 f5 2. Nf3 Nf6 3. Bg5 e6 4. e3 h6
2016.07.31	0-1	2156	2030	Bird Opening: Dutch Variation	1. f4 d5 2. Nf3 Nc6 3. b3 Bg4 4. Bb2 Bxf3
2016.07.31	0-1	1353	1766	King's Pawn Game	1. e4 e5 2. h3 Nf6 3. Nc3 Nc6 4. Nf3 Bb4
2016.07.31	0-1	1318	1300	Robatsch (Modern) Defense	1. e4 g6 2. d4 Bg7 3. Nf3 Nc6 4. d5 Nb8
2016.07.31	0-1	1803	1733	Van Geet Opening	1. Nc3 d5 2. e4 d4 3. Nce2 c5 4. Ng3 Nc6
2016.07.31	1-0	1573	1582	Barnes Defense	1. e4 f6 2. d4 e5 3. d5 c6 4. dxc6 bxc6
2016.07.31	1-0	1085	1157	French Defense: Normal Variation	1. e4 e6 2. d4 Qf6 3. Nf3 Bb4+ 4. c3 Bf8
2016.07.31	0-1	1694	1735	Zukertort Opening: Black Mustang Defense	1. Nf3 Nc6 2. d3 e5 3. Nbd2 d5 4. g3 Bd6
2016.07.31	0-1	1868	1949	Sicilian Defense: Alapin Variation	1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. g3 d6
2016.07.31	1-0	2219	2206	French Defense: Tarrasch Variation, Closed Variation, Main Line	1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7
2016.07.31	1-0	1757	1457	Scandinavian Defense: Main Line	1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. Nge2 Nf6
2016.07.31	1-0	1904	1910	Italian Game	1. e4 e5 2. Bc4 Nc6 3. Nf3 Qf6 4. b4 Bxb4
2016.07.31	1-0	1905	1879	Alekhine Defense: Four Pawns Attack	1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. d4 d6
2016.07.31	1-0	1819	1853	Sicilian Defense: Dragon, 6.Be3	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6
2016.07.31	0-1	1942	1809	Owen Defense	1. e4 b6 2. Bc4 Ba6 3. Bb3 e6 4. d4 Qc8
2016.07.31	1-0	1945	2087	Scandinavian Defense: Kiel Variation	1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. c4 Nb4
2016.07.31	1-0	1761	1833	Bird Opening	1. f4 g6 2. Nf3 Bg7 3. e4 d6 4. d4 Nf6
2016.07.31	0-1	1369	1461	Van't Kruijs Opening	1. e3 e5 2. Qh5 Qe7 3. b3 Nf6 4. Qf3 e4
2016.07.31	0-1	1342	1283	Three Knights Opening	1. e4 e5 2. Nc3 Nc6 3. Nf3 Nd4 4. Nxd4 exd4
2016.07.31	0-1	1873	1976	Modern Defense	1. d4 g6 2. c4 Bg7 3. Nf3 c5 4. e3 cxd4
2016.07.31	1-0	1521	1511	French Defense: Mediterranean Defense	1. e4 e6 2. d4 Nf6 3. e5 Nd5 4. c4 Ne7
2016.07.31	0-1	2226	2393	English Opening: Agincourt Defense	1. c4 e6 2. e3 c5 3. a3 Nc6 4. Nc3 Nf6
2016.07.31	0-1	1983	2104	Caro-Kann Defense: Advance Variation	1. e4 c6 2. d4 d5 3. e5 Bf5 4. f4 e6
2016.07.31	1-0	1956	1986	Semi-Slav Defense: Quiet Variation #2	1. d4 e6 2. c4 d5 3. e3 Nf6 4. Nf3 c6
2016.07.31	0-1	1603	2066	Four Knights Game: Italian Variation	1. e4 e5 2. Nf3 Nf6 3. Nc3 Nc6 4. Bc4 Bc5
2016.07.31	1-0	1804	1114	Queen's Pawn Game: Chigorin Variation	1. d4 d5 2. Nc3 Nc6 3. e3 Nf6 4. Bb5 e6
