Date	Result	WhiteElo	BlackElo	Opening	Moves
2015.06.30	0-1	1894	1907	Zukertort Opening: Dutch Variation	1. Nf3 f5 2. d4 Nf6 3. c3 g6 4. Bg5 Bg7
2015.06.30	0-1	1440	1546	French Defense: Knight Variation	1. e4 e6 2. Nf3 d5 3. exd5 exd5 4. d3 Nf6
2015.06.30	1-0	1882	1725	Sicilian Defense: Closed Variation	1. e4 c5 2. Nc3 d6 3. Bc4 g6 4. d3 Bg7
2015.06.30	1-0	2272	1935	Sicilian Defense: Delayed Alapin Variation	1. e4 c5 2. Nf3 e6 3. c3 d5 4. exd5 exd5
2015.06.30	1-0	1431	1442	King's Pawn	1. e4
2015.06.30	0-1	1645	1607	Indian Game	1. d4 Nf6 2. Nc3 e6 3. e3 Bb4 4. Nf3 b6
2015.06.30	0-1	1605	1599	Scandinavian Defense: Blackburne Gambit	1. e4 d5 2. exd5 c6 3. dxc6 Nxc6 4. Nc3 e5
2015.06.30	1-0	1913	2002	Sicilian Defense	1. e4 c5 2. Nf3 d6 3. b3 Nf6 4. Nc3 e6
2015.06.30	1-0	1691	1703	Latvian Gambit: Mlotkowski Variation	1. e4 e5 2. Nf3 f5 3. Nc3 fxe4 4. Nxe4 d5
2015.06.30	0-1	1491	1558	King's Pawn Game: Leonardis Variation	1. d3 e5 2. e4 d6 3. f4 Nf6 4. fxe5 dxe5
2015.06.30	1-0	1519	1500	Benoni Defense: Benoni Gambit Accepted	1. d4 c5 2. dxc5 Nc6 3. a3 e5 4. b4 a6
2015.06.30	1-0	1870	1630	Slav Defense #3	1. d4 c6 2. c4 d5 3. Nc3 dxc4 4. e3 b5
2015.06.30	1/2-1/2	1557	1530	Sicilian Defense: Paulsen Variation, Bastrikov Variation	1. e4 c5 2. Nc3 e6 3. Nf3 Nc6 4. d4 cxd4
2015.06.30	0-1	1338	1387	Van't Kruijs Opening	1. e3 c5 2. Nf3 d5 3. d4 Nc6 4. Bb5 Nf6
2015.06.30	0-1	1770	1775	Three Knights Opening: Winawer Defense	1. e4 e5 2. Nc3 Nc6 3. Nf3 f5 4. exf5 d5
2015.06.30	0-1	1835	1808	Scandinavian Defense: Main Line	1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. Nf3 Nf6
2015.06.30	0-1	1264	1363	French Defense: Normal Variation	1. d4 e6 2. e4 Nc6 3. Nf3 d5 4. e5 Bb4+
2015.06.30	1-0	1716	1695	Horwitz Defense	1. d4 e6 2. c4 c6 3. Nc3 a6 4. Nf3 b5
2015.06.30	0-1	1171	1367	Queen's Pawn Game: Chigorin Variation	1. d4 d5 2. Nc3 Nf6 3. Nf3 Nc6 4. e3 a6
2015.06.30	1-0	1027	1168	Englund Gambit	1. d4 e5 2. dxe5 Nc6 3. f4 Qh4+ 4. g3 Qh5
2015.06.30	1-0	1499	1508	Italian Game: Anti-Fried Liver Defense	1. e4 e5 2. Nf3 Nc6 3. Bc4 h6 4. Nc3 Nf6
2015.06.30	0-1	1421	1541	Bishop's Opening: Berlin Defense	1. e4 e5 2. Bc4 Nf6 3. d3 d5
2015.06.30	0-1	1946	1773	King's Gambit Accepted, Quade Gambit	1. e4 e5 2. f4 exf4 3. Nf3 g5 4. Nc3 Ne7
2015.06.30	0-1	1735	2061	Nimzowitsch Defense: Scandinavian Variation, Exchange Variation	1. e4 d5 2. exd5 Qxd5 3. d4 Nc6 4. Nf3 Bg4
2015.06.30	1-0	1743	1650	English Defense #2	1. d4 b6 2. e3 Bb7 3. c4 e6 4. Nc3 Bb4
2015.06.30	1-0	1633	1500	Four Knights Game: Spanish Variation	1. e4 Nf6 2. Nc3 e5 3. Nf3 Nc6 4. Bb5
2015.06.30	1-0	1643	1177	Bishop's Opening	1. e4 e5 2. Bc4 Nh6 3. d4 Nc6 4. Bxh6 gxh6
2015.06.30	0-1	1116	1326	Ruy Lopez: Berlin Defense #2	1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Bxc6 dxc6
2015.06.30	1-0	1770	1451	Philidor Defense #4	1. e4 e5 2. Bc4 d6 3. Nf3 Be7 4. h4 Nf6
2015.06.30	1-0	1364	1309	Semi-Slav Defense: Botvinnik Variation	1. d4 d5 2. c4 Nf6 3. Nf3 dxc4 4. Nc3 c6
2015.06.30	0-1	1660	1574	Indian Game	1. d4 Nf6 2. e3 e6 3. Bd3 b6 4. f4 Bb7
2015.06.30	0-1	1683	1585	Sicilian Defense: Open #3	1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nxd4
2015.06.30	1-0	1913	1756	French Defense: King's Indian Attack	1. e4 e6 2. d3 d5 3. Nd2 dxe4 4. dxe4 c5
2015.06.30	1-0	1409	1391	Sicilian Defense: Smith-Morra Gambit #2	1. e4 c5 2. d4 cxd4 3. Qxd4 Nc6 4. Qd3 Nf6
2015.06.30	1-0	1844	1763	Queen's Gambit Refused: Albin Countergambit	1. d4 d5 2. c4 e5 3. cxd5 Qxd5 4. Nc3 Bb4
2015.06.30	1-0	1768	1746	Pirc Defense #4	1. e4 d6 2. Nf3 Nf6 3. Bc4 Nc6 4. Qe2 h6
