Date	Result	WhiteElo	BlackElo	Opening	Moves
2016.01.31	1-0	1334	1320	Queen's Pawn	1. d4
2016.01.31	1-0	1364	1414	Caro-Kann Defense: Two Knights Attack	1. e4 c6 2. Nf3 d5 3. Nc3 d4 4. Ne2 e5
2016.01.31	1-0	1677	1669	Sicilian Defense: Smith-Morra Gambit #2	1. e4 c5 2. d4 Nc6 3. dxc5 g6 4. Nf3 Bg7
2016.01.31	1-0	1959	1879	Sicilian Defense: Bowdler Attack	1. e4 c5 2. Bc4 e6 3. Nf3 d5 4. exd5 exd5
2016.01.31	1-0	1764	1751	English Defense #2	1. d4 b6 2. Bf4 Bb7 3. Nf3 g6 4. e3 Bg7
2016.01.31	0-1	1554	1599	Philidor Defense #3	1. e4 e5 2. Nf3 d6 3. Bc4 h6 4. Nc3 a6
2016.01.31	1-0	1445	1347	Scandinavian Defense: Mieses-Kotroc Variation	1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nf6
2016.01.31	0-1	1744	1730	Queen's Gambit Refused: Albin Countergambit	1. d4 d5 2. c4 e5 3. dxe5 d4 4. Nd2 c5
2016.01.31	0-1	2013	1899	Four Knights Game: Spanish Variation, Classical Variation	1. e4 e5 2. Nf3 Nf6 3. Nc3 Nc6 4. Bb5 Bc5
2016.01.31	1-0	1863	1746	Zukertort Opening: Tennison Gambit	1. e4 d5 2. Nf3 dxe4 3. Ng5 Bf5 4. Nc3 Qd4
2016.01.31	0-1	1620	1737	Queen's Pawn Game: Mason Attack	1. d4 d5 2. Bf4 e6 3. e3 Nf6 4. h3 c5
2016.01.31	0-1	2042	2158	Queen's Pawn Game: London System	1. d4 d5 2. Nf3 Nf6 3. Bf4 e6 4. e3 Bd6
2016.01.31	1/2-1/2	2191	2249	French Defense #2	1. e4 e6 2. c3 Be7 3. e5 c6 4. d4 d5
2016.01.31	1-0	1644	1540	Polish Opening: Dutch Defense	1. b4 f5 2. Bb2 Nf6 3. e3 e6 4. b5 d5
2016.01.31	1-0	1727	1727	Scandinavian Defense: Mieses-Kotroc Variation	1. e4 d5 2. exd5 Qxd5 3. Nf3 Bg4 4. Be2 e6
2016.01.31	1/2-1/2	2237	2311	Indian Game	1. d4 Nf6 2. Bf4 d5 3. e3 Bf5 4. c4 c6
2016.01.31	1-0	1619	1548	Queen's Gambit Refused: Baltic Defense, Pseudo-Slav	1. d4 c6 2. c4 d5 3. Nc3 Bf5 4. Nf3 e6
2016.01.31	1-0	1572	1373	King's Pawn Game: Leonardis Variation	1. e4 e5 2. d3 Nc6 3. Nf3 Nf6 4. Be2 d6
2016.01.31	1/2-1/2	1940	1900	Hungarian Opening: Symmetrical Variation	1. g3 g6 2. f3 Bg7 3. Bg2 e6 4. c3 Ne7
2016.01.31	0-1	1733	1575	Scandinavian Defense: Mieses-Kotroc Variation	1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 c6
2016.01.31	1-0	1672	1555	Philidor Defense #2	1. e4 e5 2. Nf3 d6 3. c3 a6 4. d4 exd4
2016.01.31	1-0	1706	1771	Sicilian Defense: Old Sicilian	1. e4 c5 2. Nf3 Nc6 3. c3 e5 4. Bb5 a6
2016.01.31	0-1	2034	1930	Sicilian Defense	1. e4 c5 2. f3 d5 3. exd5 Qxd5 4. Nc3 Qd8
2016.01.31	0-1	1739	1969	Bishop's Opening: Calabrese Countergambit	1. e4 e5 2. Bc4 f5 3. exf5 Nf6 4. Nc3 d5
2016.01.31	1-0	2031	2270	Sicilian Defense: Four Knights Variation	1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nf6
2016.01.31	1-0	2001	1728	Scandinavian Defense: Mieses-Kotroc Variation	1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 Bf5
2016.01.31	0-1	1808	2222	Mieses Opening	1. d3 Nc6 2. e3 e5 3. Nf3 Nf6 4. e4 d5
2016.01.31	0-1	1687	1693	King's Pawn Game: Macleod Attack	1. e4 e5 2. c3 d6 3. Qc2 Qf6 4. Nf3 h6
2016.01.31	0-1	1647	1665	Sicilian Defense: Bowdler Attack	1. e4 c5 2. Bc4 d6 3. Nc3 e6 4. f4 a6
2016.01.31	0-1	1629	1842	Pirc Defense: Classical Variation, Quiet System	1. e4 g6 2. d4 Bg7 3. Nf3 d6 4. Be2 Nf6
2016.01.31	0-1	1675	1630	French Defense: Advance Variation, Nimzowitsch System	1. e4 e6 2. d4 d5 3. e5 c5 4. Nf3 Qb6
2016.01.31	1-0	2097	2001	Owen Defense	1. e4 b6 2. d4 Bb7 3. Bd3 g6 4. Qe2 Bg7
2016.01.31	1-0	2235	2071	Indian Game	1. d4 Nf6 2. c3 e6 3. Bg5 Be7 4. Nd2 h6
2016.01.31	1-0	2040	2170	Four Knights Game: Double Spanish	1. e4 Nf6 2. Nc3 e5 3. Nf3 Nc6 4. Bb5 Bb4
2016.01.31	0-1	1610	1812	Queen's Pawn	1. d4 d6 2. Bf4 e6 3. Nc3 g6 4. a3 Bg7
2016.01.31	1-0	2035	1577	Philidor Defense	1. e4 d6 2. d4 e5 3. Nf3 Bg4 4. Be2 Bxf3
2016.01.31	1-0	1442	1558	English Defense #2	1. d4 b6 2. e4 Bb7 3. d5 e6 4. Nc3 exd5
2016.01.31	1-0	1309	1062	French Defense: Normal Variation	1. d4 e6 2. e4 f6 3. Nc3 g6 4. Nf3 Nc6
2016.01.31	0-1	1275	1790	Sicilian Defense: Dragon Variation, Classical Variation #2	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6
2016.01.31	1/2-1/2	1651	1614	Queen's Pawn Game #2	1. d4 d5 2. e3 e6 3. Nf3 Nc6 4. Bd3 Nge7
2016.01.31	1-0	1721	1841	Four Knights Game: Scotch Variation Accepted	1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. d4 exd4
2016.01.31	0-1	1639	2051	Sicilian Defense: McDonnell Attack	1. e4 c5 2. f4 g6 3. Nf3 Nc6 4. d3 Bg7
2016.01.31	0-1	1789	1700	Hungarian Opening	1. g3 d5 2. c3 Nc6 3. d3 e5 4. Bg2 Bg4
2016.01.31	0-1	1770	1832	Ware Opening	1. a4 c5 2. Ra3 Qa5 3. Nc3 Nf6 4. e4 e6
2016.01.31	1-0	1628	1655	Philidor Defense #3	1. e4 e5 2. Nf3 d6 3. Bc4 Bg4 4. d3 Bxf3
2016.01.31	1-0	2494	2303	Four Knights Game: Spanish Variation	1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Bd6
2016.01.31	1-0	1854	1861	Scandinavian Defense: Modern Variation #2	1. e4 d5 2. exd5 Nf6 3. Nf3 e6 4. dxe6 Bxe6
