Date	Result	WhiteElo	BlackElo	Opening	Moves
2018.12.31	0-1	1518	1936	King's Indian Defense: Fianchetto Variation, Uhlmann-Szabo System	1. d4 g6 2. c4 Bg7 3. Nf3 d6 4. g3 Nf6
2018.12.31	0-1	1597	1832	Italian Game: Giuoco Pianissimo, Normal	1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. d3 Bc5
2018.12.31	1-0	2398	2048	Queen's Gambit Declined: Harrwitz Attack	1. d4 e6 2. Nf3 d5 3. c4 Nf6 4. Nc3 Be7
2018.12.31	0-1	1717	1586	Semi-Slav Defense: Accelerated Move Order	1. d4 d5 2. c4 c6 3. Nc3 e6 4. a3 Bd6
2018.12.31	1-0	858	944	Van't Kruijs Opening	1. e3 Nc6 2. Nf3 e5 3. d4 exd4 4. exd4 d5
2018.12.31	0-1	1702	1628	Scotch Game: Haxo Gambit	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. d4 exd4
2018.12.31	1-0	1655	1698	English Opening: Caro-Kann Defensive System	1. c4 c6 2. Nc3 Nf6 3. g3 g6 4. Bg2 Bg7
2018.12.31	1-0	1554	1368	Italian Game: Anti-Fried Liver Defense	1. e4 e5 2. Nf3 Nc6 3. Bc4 h6 4. O-O Bc5
2018.12.31	0-1	2086	2188	Scandinavian Defense	1. e4 d5 2. e5 c5 3. Nf3 d4 4. Bb5+ Bd7
2018.12.31	1-0	1432	1282	Queen's Pawn Game	1. d4 d5 2. g3 Nf6 3. Bg2 e6 4. Nc3 Nc6
2018.12.31	1-0	1022	1500	Russian Game: Urusov Gambit	1. e4 e5 2. Nf3 Nf6 3. Bc4 Bc5 4. Nxe5 Qe7
2018.12.31	1-0	1656	1365	Sicilian Defense: Bowdler Attack	1. e4 c5 2. Bc4 Nc6 3. Nc3 e6 4. Nf3 d6
2018.12.31	0-1	1160	1853	King's Indian Defense: Averbakh Variation, Benoni Defense, Advance Variation	1. d4 c5 2. d5 d6 3. c4 Nf6 4. Nc3 g6
